date,city,pm2.5,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,xylene,aqi,aqi_bucket
2015-01-01,Ahmedabad,48.57,95.68,0.92,18.22,17.15,15.85,0.92,9.16,30.84,0.0,0.02,0.98,118.0,Severe
2015-01-02,Ahmedabad,48.57,95.68,0.97,15.69,16.46,15.85,0.97,17.814999999999998,34.06,3.54,5.5,0.98,118.0,Severe
2015-01-03,Ahmedabad,48.57,95.68,17.4,19.3,29.7,15.85,0.88,9.16,30.7,1.07,2.97,0.98,118.0,Moderate
2015-01-04,Ahmedabad,48.57,95.68,1.7,18.48,17.97,15.85,1.7,17.814999999999998,36.08,3.54,5.505000000000001,0.98,118.0,Moderate
2015-01-05,Ahmedabad,48.57,95.68,21.085,21.42,37.76,15.85,0.88,9.16,39.31,1.07,2.97,0.98,118.0,Very Poor
2015-01-06,Ahmedabad,48.57,95.68,9.89,38.48,23.52,15.85,0.88,9.16,46.51,3.54,5.505000000000001,0.98,118.0,Very Poor
2015-01-07,Ahmedabad,48.57,95.68,9.89,40.62,23.52,15.85,0.88,9.16,33.47,0.0,0.0,0.98,118.0,Very Poor
2015-01-08,Ahmedabad,48.57,95.68,9.89,36.74,23.52,15.85,0.88,9.16,31.89,0.0,0.0,0.98,118.0,Very Poor
2015-01-09,Ahmedabad,48.57,95.68,21.085,31.0,48.0,15.85,0.88,9.16,25.75,0.0,0.0,0.98,118.0,Very Poor
2015-01-10,Ahmedabad,48.57,95.68,9.89,7.04,0.0,15.85,0.89,8.29,4.55,0.0,0.0,0.98,118.0,Very Poor
2015-01-11,Ahmedabad,48.57,95.68,9.89,55.205,24.53,15.85,0.88,17.814999999999998,6.79,0.0,0.0,0.98,118.0,Very Poor
2015-01-12,Ahmedabad,48.57,95.68,9.89,40.67,23.52,15.85,0.88,9.16,45.89,2.41,0.03,0.98,118.0,Very Poor
2015-01-13,Ahmedabad,48.57,95.68,9.89,44.2,23.52,15.85,0.88,9.16,35.16,1.07,2.97,0.98,118.0,Very Poor
2015-01-14,Ahmedabad,48.57,95.68,19.2,27.86,33.05,15.85,0.88,9.16,20.96,2.16,2.26,0.98,118.0,Very Poor
2015-01-15,Ahmedabad,48.57,95.68,0.6,16.96,16.6,15.85,0.6,9.16,47.63,0.14,0.04,0.98,118.0,Very Poor
2015-01-16,Ahmedabad,48.57,95.68,1.63,21.72,22.86,15.85,1.63,9.16,46.03,0.35,0.05,0.98,118.0,Very Poor
2015-01-17,Ahmedabad,48.57,95.68,11.44,24.73,34.75,15.85,0.88,9.16,52.24,0.68,0.0,0.98,118.0,Very Poor
2015-01-18,Ahmedabad,48.57,95.68,6.1,25.77,29.57,15.85,0.88,9.16,53.49,0.74,0.21,0.98,118.0,Very Poor
